14.6|15.3| ಹ್ಮ ಹ್ಮ|hma hma|"""ஹம் ஹம்""}"
15.4|15.7| ಹ|haha|"""ஹா""}"
17.6|18.8| ಹುಡುಗಿ ನಮ್ಮಚಾವಳು|hudugi nammachaavalu|"""பொண்ண மச்சா அவ""}" ಹುಡುಗಿನಾ ಮಾಚ ಅವಳು
21.0|22.3| ಡವಿಲು ಡಬಲುು|davilu devilu|"""பிசாசு பிசாசு""}"
23.7|25.9| ಹ ತ ಬಿಸಿ ಬಿಸಿ|haha tha bisi bisi|"""ஆ, சூடா சூடா""}". ஆ! ஆ! சுடுது சுடுது
31.0|31.6| ಬಂದೆ|bande|"""வந்து விட்டேன்""}"
31.9|32.2| ಹ|haha|"""ஹா""}"
41.6|46.0| ಅವಳ ಮಾತು ಬಿಹೇವಿಯರ್ ಎಲ್ಲ ನಮ್ಮಮ್ಮನ ತರಾನೇ ಐ ಲವ್ ಯು|avala maatu behaviour ella nammammana taraane ai love you|"""அவள் பேசும் ஒவ்வொரு வார்த்தையும், அவள் நடிக்கும் ஒவ்வொரு தோற்றமும்... நம்ம அம்மாவைத் தான் நினைவூட்டுறது. நான் உன்னை காதலிக்கிறேன்!""}"
57.6|58.1| ಕಮಗನ್|kamagan|"""கமகன்""}"
67.8|68.9| ಇದು ವರ್ಕ್ ಆಗೋ ಮಾತಾ|edu work ago matha|"""இதெல்லாம் பண்ணினா வேலை ஆகுமா?""}"
76.5|77.8| ಬಟ್  ಎಮ ಎಜ್ಂಗಿಟ್ ಸರ್|butt  ema ezgit sear|"""ஆனா நான் ஒரு இன்ஜினியர் தான், சார்""}"
85.6|89.1| ನನ್ ಮೂರು ಜನ ಫ್ರೆಂಡ್ಸ್ ಮೇಲಣೆ ನಾ ನಿನ್ ಮೇಲಿಂದ ಲವ್ ಮಾಡಲ್ಲ|none mooru jana friends melane naa nine melinda love madalla|"""நான் என் மூன்று தோழங்களைவிட உன்னை மேலாக காதலிக்க மாட்டேன்""}"
89.2|90.6| ಮಾಡಲ್ಲ ಮಾಡಲ್ಲ|madalla madalla|"""மாட்டேன் மாட்டேன்""}"
92.2|93.7| ವಶೀಕರಣ|vashikarana|"""வாஷிகரணம்!""}"
99.6|102.4| ಒಂದ್ ಕೈಲಿ ಹಾಟು ಇನ್ನೊಂದು ಕೈಲ್ ಸ್ವೀು ಹೇ ಮ್ಯಾನೇಜ್ ಮಾಡ್ತಿಯಾ|ond kaili haatu innondu kail sweeu hay manage madtia|"""ஒரு கையில் சூடு, இன்னொரு கையில் இனிப்பு... நீ அதை எப்படி மேனேஜ் பண்ண?""}"
102.9|104.7| ಕೆಲವು ಸಲ ಲೈಫಲ್ಲಿ ಎರಡು ಒಟ್ಟೊಟ್ಟಿಗೆ ಸಿಗುತ್ತೆ|kelavu sala laifalli eradu ottottige sigutte|"""வாழ்க்கையில் சில சமயங்களில் இரண்டு இன்பங்களும் ஒரே நேரம் கிடைக்கலாம்.""}"
105.0|107.1| ಯಾರಿಗೂ ಬೇಜಾರು ಮಾಡಿಸಬಾರ್ದಲ್ವಾ ಅದು ಕರೆಕ್ಟ್|yaarigu bejaaru madisabardalva adhu correct|"""யாரையும் வருந்த வைக்க கூடாது, சரிதானா?""}"
107.5|108.3| ಬಂದೆ|bande|"""வந்தேன்""}"
108.6|109.0| ಹಾ|haha|"""ஹா""}"
109.2|109.7| ಹ ಆ|haha aa|"""ஹா ஆ""}"
113.1|114.8| ಎಲ್ಲ ಒಂದು ಕಡೆ ಶುರು ಮಾಡಕ್ ಬಿಟ್ರೆ|ella ondu kade shuru modak bitre|"""எல்லாம் ஒரு இடத்தில்தான் ஆரம்பித்தால்...""}"
