33.0|33.7| ರಕ್ಷಿ|rakshi|
34.0|35.9| ನೀನು ಫೋರ್ಸ್ಟ್ ಪ್ರಪೋಸ್ ಮಾಡಿದ್ದು ನನಗೆ|neenu forst propose maadiddu nanage| எனக்கு தானே நீ  முதல ப்ரோபோஸ் பண்ண!  நீ முதல ப்ரபோஸ் பண்ணது எனக்கு!!! / 
38.7|40.3| ಇರೋರು ಇಲ್ದೆೇ ಇರೋರಿಗೆ ಕೊಡಬೇಕು|iroru ilde irorige kodabeku|இருக்கிறவன் இல்லாதவனுக்குக் கொடுக்கணும்
40.4|41.5| ಇಟ್ಸ್ ಕೈಂಡ ಆಫ್ ಶೇಂಗ್|its kinda off sheng|
51.1|52.3| ನಾನು ತನು ಇಬ್ರು|naanu tanu ibru|
52.4|57.4| ಒಂದೇ ಹುಡುಗನ ಲವ್ ಮಾಡಿ ಅವನ್ನೇ ಮದುವೆ ಆಗಿ ಒಂದೇ ಮನೇಲಿ ಒಟ್ಟಿಗೆ ಇರಬೇಕು ಅನ್್ಕೊಂಡಿದ್ದೀವಿ|onde hudugana love maadi avanne maduve aagi onde maneli ottige irabeku ankondiddivi|"""ஒரே பையனை லவ் பண்ணி, அவனையே கல்யாணம் பண்ணி, ஒரே வீட்டுல ஒண்ணா இருக்கணும்னு நெனச்சோம்"""
64.4|66.0| ನಮ್ಮಿಬ್ರಗೂ ನೀನು ಇಷ್ಟ ಆಗಬೇಕು|nammibragoo neenu ishta agabeku| எங்க ரெண்டு பேருக்கும் உன்னைப் பிடிக்கணும்"""'
73.8|77.0| ಫ್ಯಾಂಟಸಿ ಬಾಯ್ ವರ್ಕಿಂಗ್ ಹಾರ್ಡಾ|fantasy boy working harda|
77.9|78.5| ಆ|aa|
90.8|92.0| ವಿ ಲವ್ ಯು ರಕ್ಷಿ|wee love you rakshi| 
92.2|93.9| ವಶೀಕರಣ|vashikarana|. மயக்கிட்டியா"""!
110.1|110.8| ರಕ್ಷಿ|rakshi|
111.0|112.9| ಇಷ್ಟೇ ನನ ನೀ ನನ್ನ ಮೇಲೆ ಲವು|ishte nana nee nanna mele lavu| இவ்ளோதானா உன் காதல்?
